,country,date,count
81,Iran,1/22/20,0
82,Iraq,1/22/20,0
83,Ireland,1/22/20,0
84,Israel,1/22/20,0
85,Italy,1/22/20,0
86,Jamaica,1/22/20,0
87,Japan,1/22/20,0
88,Jordan,1/22/20,0
89,Kazakhstan,1/22/20,0
90,Kenya,1/22/20,0
91,"Korea, South",1/22/20,0
92,Kosovo,1/22/20,0
93,Kuwait,1/22/20,0
94,Kyrgyzstan,1/22/20,0
95,Laos,1/22/20,0
96,Latvia,1/22/20,0
97,Lebanon,1/22/20,0
98,Lesotho,1/22/20,0
99,Liberia,1/22/20,0
100,Libya,1/22/20,0
101,Liechtenstein,1/22/20,0
102,Lithuania,1/22/20,0
103,Luxembourg,1/22/20,0
104,MS Zaandam,1/22/20,0
105,Madagascar,1/22/20,0
106,Malawi,1/22/20,0
107,Malaysia,1/22/20,0
108,Maldives,1/22/20,0
109,Mali,1/22/20,0
110,Malta,1/22/20,0
111,Marshall Islands,1/22/20,0
112,Mauritania,1/22/20,0
113,Mauritius,1/22/20,0
114,Mexico,1/22/20,0
115,Micronesia,1/22/20,0
116,Moldova,1/22/20,0
117,Monaco,1/22/20,0
118,Mongolia,1/22/20,0
119,Montenegro,1/22/20,0
120,Morocco,1/22/20,0
121,Mozambique,1/22/20,0
122,Namibia,1/22/20,0
123,Nepal,1/22/20,0
124,Netherlands,1/22/20,0
125,New Zealand,1/22/20,0
126,Nicaragua,1/22/20,0
127,Niger,1/22/20,0
128,Nigeria,1/22/20,0
129,North Macedonia,1/22/20,0
130,Norway,1/22/20,0
131,Oman,1/22/20,0
132,Pakistan,1/22/20,0
133,Panama,1/22/20,0
134,Papua New Guinea,1/22/20,0
135,Paraguay,1/22/20,0
136,Peru,1/22/20,0
137,Philippines,1/22/20,0
138,Poland,1/22/20,0
139,Portugal,1/22/20,0
140,Qatar,1/22/20,0
141,Romania,1/22/20,0
142,Russia,1/22/20,0
143,Rwanda,1/22/20,0
144,Saint Kitts and Nevis,1/22/20,0
145,Saint Lucia,1/22/20,0
146,Saint Vincent and the Grenadines,1/22/20,0
147,Samoa,1/22/20,0
148,San Marino,1/22/20,0
149,Sao Tome and Principe,1/22/20,0
150,Saudi Arabia,1/22/20,0
151,Senegal,1/22/20,0
152,Serbia,1/22/20,0
153,Seychelles,1/22/20,0
154,Sierra Leone,1/22/20,0
155,Singapore,1/22/20,0
156,Slovakia,1/22/20,0
157,Slovenia,1/22/20,0
158,Solomon Islands,1/22/20,0
159,Somalia,1/22/20,0
160,South Africa,1/22/20,0
161,South Sudan,1/22/20,0
162,Spain,1/22/20,0
163,Sri Lanka,1/22/20,0
164,Sudan,1/22/20,0
165,Suriname,1/22/20,0
166,Sweden,1/22/20,0
167,Switzerland,1/22/20,0
168,Syria,1/22/20,0
169,Taiwan*,1/22/20,0
170,Tajikistan,1/22/20,0
171,Tanzania,1/22/20,0
172,Thailand,1/22/20,2
173,Timor-Leste,1/22/20,0
174,Togo,1/22/20,0
175,Trinidad and Tobago,1/22/20,0
176,Tunisia,1/22/20,0
177,Turkey,1/22/20,0
178,US,1/22/20,0
179,Uganda,1/22/20,0
180,Ukraine,1/22/20,0
181,United Arab Emirates,1/22/20,0
182,United Kingdom,1/22/20,0
183,Uruguay,1/22/20,0
184,Uzbekistan,1/22/20,0
185,Vanuatu,1/22/20,0
186,Venezuela,1/22/20,0
187,Vietnam,1/22/20,0
188,West Bank and Gaza,1/22/20,0
189,Yemen,1/22/20,0
190,Zambia,1/22/20,0
191,Zimbabwe,1/22/20,0
192,Afghanistan,1/23/20,0
193,Albania,1/23/20,0
194,Algeria,1/23/20,0
195,Andorra,1/23/20,0
196,Angola,1/23/20,0
197,Antigua and Barbuda,1/23/20,0
198,Argentina,1/23/20,0
199,Armenia,1/23/20,0
200,Australia,1/23/20,0
201,Austria,1/23/20,0
202,Azerbaijan,1/23/20,0
203,Bahamas,1/23/20,0
204,Bahrain,1/23/20,0
205,Bangladesh,1/23/20,0
206,Barbados,1/23/20,0
207,Belarus,1/23/20,0
208,Belgium,1/23/20,0
209,Belize,1/23/20,0
210,Benin,1/23/20,0
211,Bhutan,1/23/20,0
212,Bolivia,1/23/20,0
213,Bosnia and Herzegovina,1/23/20,0
214,Botswana,1/23/20,0
215,Brazil,1/23/20,0
216,Brunei,1/23/20,0
217,Bulgaria,1/23/20,0
218,Burkina Faso,1/23/20,0
219,Burma,1/23/20,0
220,Burundi,1/23/20,0
221,Cabo Verde,1/23/20,0
222,Cambodia,1/23/20,0
223,Cameroon,1/23/20,0
224,Canada,1/23/20,0
225,Central African Republic,1/23/20,0
226,Chad,1/23/20,0
227,Chile,1/23/20,0
228,China,1/23/20,30
229,Colombia,1/23/20,0
230,Comoros,1/23/20,0
231,Congo (Brazzaville),1/23/20,0
232,Congo (Kinshasa),1/23/20,0
233,Costa Rica,1/23/20,0
234,Cote d'Ivoire,1/23/20,0
235,Croatia,1/23/20,0
236,Cuba,1/23/20,0
237,Cyprus,1/23/20,0
238,Czechia,1/23/20,0
239,Denmark,1/23/20,0
240,Diamond Princess,1/23/20,0
241,Djibouti,1/23/20,0
242,Dominica,1/23/20,0
243,Dominican Republic,1/23/20,0
244,Ecuador,1/23/20,0
245,Egypt,1/23/20,0
246,El Salvador,1/23/20,0
247,Equatorial Guinea,1/23/20,0
248,Eritrea,1/23/20,0
249,Estonia,1/23/20,0
250,Eswatini,1/23/20,0
251,Ethiopia,1/23/20,0
252,Fiji,1/23/20,0
253,Finland,1/23/20,0
254,France,1/23/20,0
255,Gabon,1/23/20,0
256,Gambia,1/23/20,0
257,Georgia,1/23/20,0
258,Germany,1/23/20,0
259,Ghana,1/23/20,0
260,Greece,1/23/20,0
261,Grenada,1/23/20,0
262,Guatemala,1/23/20,0
263,Guinea,1/23/20,0
264,Guinea-Bissau,1/23/20,0
265,Guyana,1/23/20,0
266,Haiti,1/23/20,0
267,Holy See,1/23/20,0
268,Honduras,1/23/20,0
269,Hungary,1/23/20,0
270,Iceland,1/23/20,0
271,India,1/23/20,0
272,Indonesia,1/23/20,0
273,Iran,1/23/20,0
274,Iraq,1/23/20,0
275,Ireland,1/23/20,0
276,Israel,1/23/20,0
277,Italy,1/23/20,0
278,Jamaica,1/23/20,0
279,Japan,1/23/20,0
280,Jordan,1/23/20,0
281,Kazakhstan,1/23/20,0
282,Kenya,1/23/20,0
283,"Korea, South",1/23/20,0
284,Kosovo,1/23/20,0
285,Kuwait,1/23/20,0
286,Kyrgyzstan,1/23/20,0
287,Laos,1/23/20,0
288,Latvia,1/23/20,0
289,Lebanon,1/23/20,0
290,Lesotho,1/23/20,0
291,Liberia,1/23/20,0
292,Libya,1/23/20,0
293,Liechtenstein,1/23/20,0
294,Lithuania,1/23/20,0
295,Luxembourg,1/23/20,0
296,MS Zaandam,1/23/20,0
297,Madagascar,1/23/20,0
298,Malawi,1/23/20,0
299,Malaysia,1/23/20,0
300,Maldives,1/23/20,0
301,Mali,1/23/20,0
302,Malta,1/23/20,0
303,Marshall Islands,1/23/20,0
304,Mauritania,1/23/20,0
305,Mauritius,1/23/20,0
306,Mexico,1/23/20,0
307,Micronesia,1/23/20,0
308,Moldova,1/23/20,0
309,Monaco,1/23/20,0
310,Mongolia,1/23/20,0
311,Montenegro,1/23/20,0
312,Morocco,1/23/20,0
313,Mozambique,1/23/20,0
314,Namibia,1/23/20,0
315,Nepal,1/23/20,0
316,Netherlands,1/23/20,0
317,New Zealand,1/23/20,0
318,Nicaragua,1/23/20,0
319,Niger,1/23/20,0
320,Nigeria,1/23/20,0
321,North Macedonia,1/23/20,0
322,Norway,1/23/20,0
323,Oman,1/23/20,0
324,Pakistan,1/23/20,0
325,Panama,1/23/20,0
326,Papua New Guinea,1/23/20,0
327,Paraguay,1/23/20,0
328,Peru,1/23/20,0
329,Philippines,1/23/20,0
330,Poland,1/23/20,0
331,Portugal,1/23/20,0
332,Qatar,1/23/20,0
333,Romania,1/23/20,0
334,Russia,1/23/20,0
335,Rwanda,1/23/20,0
336,Saint Kitts and Nevis,1/23/20,0
337,Saint Lucia,1/23/20,0
338,Saint Vincent and the Grenadines,1/23/20,0
339,Samoa,1/23/20,0
340,San Marino,1/23/20,0
341,Sao Tome and Principe,1/23/20,0
342,Saudi Arabia,1/23/20,0
343,Senegal,1/23/20,0
344,Serbia,1/23/20,0
345,Seychelles,1/23/20,0
346,Sierra Leone,1/23/20,0
347,Singapore,1/23/20,0
348,Slovakia,1/23/20,0
349,Slovenia,1/23/20,0
350,Solomon Islands,1/23/20,0
351,Somalia,1/23/20,0
352,South Africa,1/23/20,0
353,South Sudan,1/23/20,0
354,Spain,1/23/20,0
355,Sri Lanka,1/23/20,0
356,Sudan,1/23/20,0
357,Suriname,1/23/20,0
358,Sweden,1/23/20,0
359,Switzerland,1/23/20,0
360,Syria,1/23/20,0
361,Taiwan*,1/23/20,0
362,Tajikistan,1/23/20,0
363,Tanzania,1/23/20,0
364,Thailand,1/23/20,2
365,Timor-Leste,1/23/20,0
366,Togo,1/23/20,0
367,Trinidad and Tobago,1/23/20,0
368,Tunisia,1/23/20,0
369,Turkey,1/23/20,0
370,US,1/23/20,0
371,Uganda,1/23/20,0
372,Ukraine,1/23/20,0
373,United Arab Emirates,1/23/20,0
374,United Kingdom,1/23/20,0
375,Uruguay,1/23/20,0
376,Uzbekistan,1/23/20,0
377,Vanuatu,1/23/20,0
378,Venezuela,1/23/20,0
379,Vietnam,1/23/20,0
380,West Bank and Gaza,1/23/20,0
381,Yemen,1/23/20,0
382,Zambia,1/23/20,0
383,Zimbabwe,1/23/20,0
384,Afghanistan,1/24/20,0
385,Albania,1/24/20,0
386,Algeria,1/24/20,0
387,Andorra,1/24/20,0
388,Angola,1/24/20,0
389,Antigua and Barbuda,1/24/20,0
390,Argentina,1/24/20,0
391,Armenia,1/24/20,0
392,Australia,1/24/20,0
393,Austria,1/24/20,0
394,Azerbaijan,1/24/20,0
395,Bahamas,1/24/20,0
396,Bahrain,1/24/20,0
397,Bangladesh,1/24/20,0
398,Barbados,1/24/20,0
399,Belarus,1/24/20,0
400,Belgium,1/24/20,0
401,Belize,1/24/20,0
402,Benin,1/24/20,0
403,Bhutan,1/24/20,0
404,Bolivia,1/24/20,0
405,Bosnia and Herzegovina,1/24/20,0
406,Botswana,1/24/20,0
407,Brazil,1/24/20,0
408,Brunei,1/24/20,0
409,Bulgaria,1/24/20,0
410,Burkina Faso,1/24/20,0
411,Burma,1/24/20,0
412,Burundi,1/24/20,0
413,Cabo Verde,1/24/20,0
414,Cambodia,1/24/20,0
415,Cameroon,1/24/20,0
416,Canada,1/24/20,0
417,Central African Republic,1/24/20,0
418,Chad,1/24/20,0
419,Chile,1/24/20,0
420,China,1/24/20,36
421,Colombia,1/24/20,0
422,Comoros,1/24/20,0
423,Congo (Brazzaville),1/24/20,0
424,Congo (Kinshasa),1/24/20,0
425,Costa Rica,1/24/20,0
426,Cote d'Ivoire,1/24/20,0
427,Croatia,1/24/20,0
428,Cuba,1/24/20,0
429,Cyprus,1/24/20,0
430,Czechia,1/24/20,0
431,Denmark,1/24/20,0
432,Diamond Princess,1/24/20,0
433,Djibouti,1/24/20,0
434,Dominica,1/24/20,0
435,Dominican Republic,1/24/20,0
436,Ecuador,1/24/20,0
437,Egypt,1/24/20,0
438,El Salvador,1/24/20,0
439,Equatorial Guinea,1/24/20,0
440,Eritrea,1/24/20,0
441,Estonia,1/24/20,0
442,Eswatini,1/24/20,0
443,Ethiopia,1/24/20,0
444,Fiji,1/24/20,0
445,Finland,1/24/20,0
446,France,1/24/20,0
447,Gabon,1/24/20,0
448,Gambia,1/24/20,0
449,Georgia,1/24/20,0
450,Germany,1/24/20,0
451,Ghana,1/24/20,0
452,Greece,1/24/20,0
453,Grenada,1/24/20,0
454,Guatemala,1/24/20,0
455,Guinea,1/24/20,0
456,Guinea-Bissau,1/24/20,0
457,Guyana,1/24/20,0
458,Haiti,1/24/20,0
459,Holy See,1/24/20,0
460,Honduras,1/24/20,0
461,Hungary,1/24/20,0
462,Iceland,1/24/20,0
463,India,1/24/20,0
464,Indonesia,1/24/20,0
465,Iran,1/24/20,0
466,Iraq,1/24/20,0
467,Ireland,1/24/20,0
468,Israel,1/24/20,0
469,Italy,1/24/20,0
470,Jamaica,1/24/20,0
471,Japan,1/24/20,0
472,Jordan,1/24/20,0
473,Kazakhstan,1/24/20,0
474,Kenya,1/24/20,0
475,"Korea, South",1/24/20,0
476,Kosovo,1/24/20,0
477,Kuwait,1/24/20,0
478,Kyrgyzstan,1/24/20,0
479,Laos,1/24/20,0
480,Latvia,1/24/20,0
481,Lebanon,1/24/20,0
482,Lesotho,1/24/20,0
483,Liberia,1/24/20,0
484,Libya,1/24/20,0
485,Liechtenstein,1/24/20,0
486,Lithuania,1/24/20,0
487,Luxembourg,1/24/20,0
488,MS Zaandam,1/24/20,0
489,Madagascar,1/24/20,0
490,Malawi,1/24/20,0
491,Malaysia,1/24/20,0
492,Maldives,1/24/20,0
493,Mali,1/24/20,0
494,Malta,1/24/20,0
495,Marshall Islands,1/24/20,0
496,Mauritania,1/24/20,0
497,Mauritius,1/24/20,0
498,Mexico,1/24/20,0
499,Micronesia,1/24/20,0
500,Moldova,1/24/20,0
501,Monaco,1/24/20,0
502,Mongolia,1/24/20,0
503,Montenegro,1/24/20,0
504,Morocco,1/24/20,0
505,Mozambique,1/24/20,0
506,Namibia,1/24/20,0
507,Nepal,1/24/20,0
508,Netherlands,1/24/20,0
509,New Zealand,1/24/20,0
510,Nicaragua,1/24/20,0
511,Niger,1/24/20,0
512,Nigeria,1/24/20,0
513,North Macedonia,1/24/20,0
514,Norway,1/24/20,0
515,Oman,1/24/20,0
516,Pakistan,1/24/20,0
517,Panama,1/24/20,0
518,Papua New Guinea,1/24/20,0
519,Paraguay,1/24/20,0
520,Peru,1/24/20,0
521,Philippines,1/24/20,0
522,Poland,1/24/20,0
523,Portugal,1/24/20,0
524,Qatar,1/24/20,0
525,Romania,1/24/20,0
526,Russia,1/24/20,0
527,Rwanda,1/24/20,0
528,Saint Kitts and Nevis,1/24/20,0
529,Saint Lucia,1/24/20,0
530,Saint Vincent and the Grenadines,1/24/20,0
531,Samoa,1/24/20,0
532,San Marino,1/24/20,0
533,Sao Tome and Principe,1/24/20,0
534,Saudi Arabia,1/24/20,0
535,Senegal,1/24/20,0
536,Serbia,1/24/20,0
537,Seychelles,1/24/20,0
538,Sierra Leone,1/24/20,0
539,Singapore,1/24/20,0
540,Slovakia,1/24/20,0
541,Slovenia,1/24/20,0
542,Solomon Islands,1/24/20,0
543,Somalia,1/24/20,0
544,South Africa,1/24/20,0
545,South Sudan,1/24/20,0
546,Spain,1/24/20,0
547,Sri Lanka,1/24/20,0
548,Sudan,1/24/20,0
549,Suriname,1/24/20,0
550,Sweden,1/24/20,0
551,Switzerland,1/24/20,0
552,Syria,1/24/20,0
553,Taiwan*,1/24/20,0
554,Tajikistan,1/24/20,0
555,Tanzania,1/24/20,0
556,Thailand,1/24/20,3
557,Timor-Leste,1/24/20,0
558,Togo,1/24/20,0
559,Trinidad and Tobago,1/24/20,0
560,Tunisia,1/24/20,0
561,Turkey,1/24/20,0
562,US,1/24/20,0
563,Uganda,1/24/20,0
564,Ukraine,1/24/20,0
565,United Arab Emirates,1/24/20,0
566,United Kingdom,1/24/20,0
567,Uruguay,1/24/20,0
568,Uzbekistan,1/24/20,0
569,Vanuatu,1/24/20,0
570,Venezuela,1/24/20,0
571,Vietnam,1/24/20,0
572,West Bank and Gaza,1/24/20,0
573,Yemen,1/24/20,0
574,Zambia,1/24/20,0
575,Zimbabwe,1/24/20,0
576,Afghanistan,1/25/20,0
577,Albania,1/25/20,0
578,Algeria,1/25/20,0
579,Andorra,1/25/20,0
580,Angola,1/25/20,0
581,Antigua and Barbuda,1/25/20,0
582,Argentina,1/25/20,0
583,Armenia,1/25/20,0
584,Australia,1/25/20,0
585,Austria,1/25/20,0
586,Azerbaijan,1/25/20,0
587,Bahamas,1/25/20,0
588,Bahrain,1/25/20,0
589,Bangladesh,1/25/20,0
590,Barbados,1/25/20,0
591,Belarus,1/25/20,0
592,Belgium,1/25/20,0
593,Belize,1/25/20,0
594,Benin,1/25/20,0
595,Bhutan,1/25/20,0
596,Bolivia,1/25/20,0
597,Bosnia and Herzegovina,1/25/20,0
598,Botswana,1/25/20,0
599,Brazil,1/25/20,0
600,Brunei,1/25/20,0
601,Bulgaria,1/25/20,0
602,Burkina Faso,1/25/20,0
603,Burma,1/25/20,0
604,Burundi,1/25/20,0
605,Cabo Verde,1/25/20,0
606,Cambodia,1/25/20,0
607,Cameroon,1/25/20,0
608,Canada,1/25/20,0
609,Central African Republic,1/25/20,0
610,Chad,1/25/20,0
611,Chile,1/25/20,0
612,China,1/25/20,39
613,Colombia,1/25/20,0
614,Comoros,1/25/20,0
615,Congo (Brazzaville),1/25/20,0
616,Congo (Kinshasa),1/25/20,0
617,Costa Rica,1/25/20,0
618,Cote d'Ivoire,1/25/20,0
619,Croatia,1/25/20,0
620,Cuba,1/25/20,0
621,Cyprus,1/25/20,0
622,Czechia,1/25/20,0
623,Denmark,1/25/20,0
624,Diamond Princess,1/25/20,0
625,Djibouti,1/25/20,0
626,Dominica,1/25/20,0
627,Dominican Republic,1/25/20,0
628,Ecuador,1/25/20,0
629,Egypt,1/25/20,0
630,El Salvador,1/25/20,0
631,Equatorial Guinea,1/25/20,0
632,Eritrea,1/25/20,0
633,Estonia,1/25/20,0
634,Eswatini,1/25/20,0
635,Ethiopia,1/25/20,0
636,Fiji,1/25/20,0
637,Finland,1/25/20,0
638,France,1/25/20,0
639,Gabon,1/25/20,0
640,Gambia,1/25/20,0
641,Georgia,1/25/20,0
642,Germany,1/25/20,0
643,Ghana,1/25/20,0
644,Greece,1/25/20,0
645,Grenada,1/25/20,0
646,Guatemala,1/25/20,0
647,Guinea,1/25/20,0
648,Guinea-Bissau,1/25/20,0
649,Guyana,1/25/20,0
650,Haiti,1/25/20,0
651,Holy See,1/25/20,0
652,Honduras,1/25/20,0
653,Hungary,1/25/20,0
654,Iceland,1/25/20,0
655,India,1/25/20,0
656,Indonesia,1/25/20,0
657,Iran,1/25/20,0
658,Iraq,1/25/20,0
659,Ireland,1/25/20,0
660,Israel,1/25/20,0
661,Italy,1/25/20,0
662,Jamaica,1/25/20,0
663,Japan,1/25/20,0
664,Jordan,1/25/20,0
665,Kazakhstan,1/25/20,0
666,Kenya,1/25/20,0
667,"Korea, South",1/25/20,0
668,Kosovo,1/25/20,0
669,Kuwait,1/25/20,0
670,Kyrgyzstan,1/25/20,0
671,Laos,1/25/20,0
672,Latvia,1/25/20,0
673,Lebanon,1/25/20,0
674,Lesotho,1/25/20,0
675,Liberia,1/25/20,0
676,Libya,1/25/20,0
677,Liechtenstein,1/25/20,0
678,Lithuania,1/25/20,0
679,Luxembourg,1/25/20,0
680,MS Zaandam,1/25/20,0
681,Madagascar,1/25/20,0
682,Malawi,1/25/20,0
683,Malaysia,1/25/20,0
684,Maldives,1/25/20,0
685,Mali,1/25/20,0
686,Malta,1/25/20,0
687,Marshall Islands,1/25/20,0
688,Mauritania,1/25/20,0
689,Mauritius,1/25/20,0
690,Mexico,1/25/20,0
691,Micronesia,1/25/20,0
692,Moldova,1/25/20,0
693,Monaco,1/25/20,0
694,Mongolia,1/25/20,0
695,Montenegro,1/25/20,0
696,Morocco,1/25/20,0
697,Mozambique,1/25/20,0
698,Namibia,1/25/20,0
699,Nepal,1/25/20,0
700,Netherlands,1/25/20,0
701,New Zealand,1/25/20,0
702,Nicaragua,1/25/20,0
703,Niger,1/25/20,0
704,Nigeria,1/25/20,0
705,North Macedonia,1/25/20,0
706,Norway,1/25/20,0
707,Oman,1/25/20,0
708,Pakistan,1/25/20,0
709,Panama,1/25/20,0
710,Papua New Guinea,1/25/20,0
711,Paraguay,1/25/20,0
712,Peru,1/25/20,0
713,Philippines,1/25/20,0
714,Poland,1/25/20,0
715,Portugal,1/25/20,0
716,Qatar,1/25/20,0
717,Romania,1/25/20,0
718,Russia,1/25/20,0
719,Rwanda,1/25/20,0
720,Saint Kitts and Nevis,1/25/20,0
721,Saint Lucia,1/25/20,0
722,Saint Vincent and the Grenadines,1/25/20,0
723,Samoa,1/25/20,0
724,San Marino,1/25/20,0
725,Sao Tome and Principe,1/25/20,0
726,Saudi Arabia,1/25/20,0
727,Senegal,1/25/20,0
728,Serbia,1/25/20,0
729,Seychelles,1/25/20,0
730,Sierra Leone,1/25/20,0
731,Singapore,1/25/20,0
732,Slovakia,1/25/20,0
733,Slovenia,1/25/20,0
734,Solomon Islands,1/25/20,0
735,Somalia,1/25/20,0
736,South Africa,1/25/20,0
737,South Sudan,1/25/20,0
738,Spain,1/25/20,0
739,Sri Lanka,1/25/20,0
740,Sudan,1/25/20,0
741,Suriname,1/25/20,0
742,Sweden,1/25/20,0
743,Switzerland,1/25/20,0
744,Syria,1/25/20,0
745,Taiwan*,1/25/20,0
746,Tajikistan,1/25/20,0
747,Tanzania,1/25/20,0
748,Thailand,1/25/20,3
749,Timor-Leste,1/25/20,0
750,Togo,1/25/20,0
751,Trinidad and Tobago,1/25/20,0
752,Tunisia,1/25/20,0
753,Turkey,1/25/20,0
754,US,1/25/20,0
755,Uganda,1/25/20,0
756,Ukraine,1/25/20,0
757,United Arab Emirates,1/25/20,0
758,United Kingdom,1/25/20,0
759,Uruguay,1/25/20,0
760,Uzbekistan,1/25/20,0
761,Vanuatu,1/25/20,0
762,Venezuela,1/25/20,0
763,Vietnam,1/25/20,0
764,West Bank and Gaza,1/25/20,0
765,Yemen,1/25/20,0
766,Zambia,1/25/20,0
767,Zimbabwe,1/25/20,0
768,Afghanistan,1/26/20,0
769,Albania,1/26/20,0
770,Algeria,1/26/20,0
771,Andorra,1/26/20,0
772,Angola,1/26/20,0
773,Antigua and Barbuda,1/26/20,0
774,Argentina,1/26/20,0
775,Armenia,1/26/20,0
776,Australia,1/26/20,0
777,Austria,1/26/20,0
778,Azerbaijan,1/26/20,0
779,Bahamas,1/26/20,0
780,Bahrain,1/26/20,0
781,Bangladesh,1/26/20,0
782,Barbados,1/26/20,0
783,Belarus,1/26/20,0
784,Belgium,1/26/20,0
785,Belize,1/26/20,0
786,Benin,1/26/20,0
787,Bhutan,1/26/20,0
788,Bolivia,1/26/20,0
789,Bosnia and Herzegovina,1/26/20,0
790,Botswana,1/26/20,0
791,Brazil,1/26/20,0
792,Brunei,1/26/20,0
793,Bulgaria,1/26/20,0
794,Burkina Faso,1/26/20,0
795,Burma,1/26/20,0
796,Burundi,1/26/20,0
797,Cabo Verde,1/26/20,0
798,Cambodia,1/26/20,0
799,Cameroon,1/26/20,0
800,Canada,1/26/20,0
801,Central African Republic,1/26/20,0
802,Chad,1/26/20,0
803,Chile,1/26/20,0
804,China,1/26/20,49
805,Colombia,1/26/20,0
806,Comoros,1/26/20,0
807,Congo (Brazzaville),1/26/20,0
808,Congo (Kinshasa),1/26/20,0
809,Costa Rica,1/26/20,0
810,Cote d'Ivoire,1/26/20,0
811,Croatia,1/26/20,0
812,Cuba,1/26/20,0
813,Cyprus,1/26/20,0
814,Czechia,1/26/20,0
815,Denmark,1/26/20,0
816,Diamond Princess,1/26/20,0
817,Djibouti,1/26/20,0
818,Dominica,1/26/20,0
819,Dominican Republic,1/26/20,0
820,Ecuador,1/26/20,0
821,Egypt,1/26/20,0
822,El Salvador,1/26/20,0
823,Equatorial Guinea,1/26/20,0
824,Eritrea,1/26/20,0
825,Estonia,1/26/20,0
826,Eswatini,1/26/20,0
827,Ethiopia,1/26/20,0
828,Fiji,1/26/20,0
829,Finland,1/26/20,0
830,France,1/26/20,0
831,Gabon,1/26/20,0
832,Gambia,1/26/20,0
833,Georgia,1/26/20,0
834,Germany,1/26/20,0
835,Ghana,1/26/20,0
836,Greece,1/26/20,0
837,Grenada,1/26/20,0
838,Guatemala,1/26/20,0
839,Guinea,1/26/20,0
840,Guinea-Bissau,1/26/20,0
841,Guyana,1/26/20,0
842,Haiti,1/26/20,0
843,Holy See,1/26/20,0
844,Honduras,1/26/20,0
845,Hungary,1/26/20,0
846,Iceland,1/26/20,0
847,India,1/26/20,0
848,Indonesia,1/26/20,0
849,Iran,1/26/20,0
850,Iraq,1/26/20,0
851,Ireland,1/26/20,0
852,Israel,1/26/20,0
853,Italy,1/26/20,0
854,Jamaica,1/26/20,0
855,Japan,1/26/20,1
856,Jordan,1/26/20,0
857,Kazakhstan,1/26/20,0
858,Kenya,1/26/20,0
859,"Korea, South",1/26/20,0
860,Kosovo,1/26/20,0
861,Kuwait,1/26/20,0
862,Kyrgyzstan,1/26/20,0
863,Laos,1/26/20,0
864,Latvia,1/26/20,0
865,Lebanon,1/26/20,0
866,Lesotho,1/26/20,0
867,Liberia,1/26/20,0
868,Libya,1/26/20,0
869,Liechtenstein,1/26/20,0
870,Lithuania,1/26/20,0
871,Luxembourg,1/26/20,0
872,MS Zaandam,1/26/20,0
873,Madagascar,1/26/20,0
874,Malawi,1/26/20,0
875,Malaysia,1/26/20,0
876,Maldives,1/26/20,0
877,Mali,1/26/20,0
878,Malta,1/26/20,0
879,Marshall Islands,1/26/20,0
880,Mauritania,1/26/20,0
